Neighborhood,Niche URL,Niche Price
Adair Park,https://www.niche.com/places-to-live/n/adair-park-atlanta-ga/,"$100,000 "
Adams Park,https://www.niche.com/places-to-live/n/adams-park-atlanta-ga/,"$83,227 "
Adamsville,https://www.niche.com/places-to-live/n/adamsville-atlanta-ga/,"$72,814 "
Almond Park,https://www.niche.com/places-to-live/n/almond-park-atlanta-ga/,"$23,813 "
Amal Heights,https://www.niche.com/places-to-live/n/amal-heights-atlanta-ga/,"$72,600 "
Ansley Park,https://www.niche.com/places-to-live/n/ansley-park-atlanta-ga/,"$668,272 "
Arden/Habersham,https://www.niche.com/places-to-live/n/arden-habersham-atlanta-ga/,"$1,065,400 "
Ardmore,https://www.niche.com/places-to-live/n/ardmore-atlanta-ga/,"$356,635 "
Argonne Forest,https://www.niche.com/places-to-live/n/argonne-forest-atlanta-ga/,"$1,111,400 "
Arlington Estates,https://www.niche.com/places-to-live/n/arlington-estates-atlanta-ga/,"$136,384 "
Ashley Courts,https://www.niche.com/places-to-live/n/ashley-courts-atlanta-ga/,"$193,900 "
Ashview Heights,https://www.niche.com/places-to-live/n/ashview-heights-atlanta-ga/,"$35,567 "
Atkins Park,https://www.niche.com/places-to-live/n/atkins-park-atlanta-ga/,"$469,178 "
Atlanta Industrial Park,https://www.niche.com/places-to-live/n/atlanta-industrial-park-atlanta-ga/,"$101,300 "
Atlanta University Center,https://www.niche.com/places-to-live/n/atlanta-university-center-atlanta-ga/,"$118,806 "
Atlantic Station,https://www.niche.com/places-to-live/n/atlantic-station-atlanta-ga/,"$203,212 "
Audobon Forest,https://www.niche.com/places-to-live/n/audobon-forest-atlanta-ga/,"$140,472 "
Audobon Forest West,https://www.niche.com/places-to-live/n/audobon-forest-west-atlanta-ga/,"$182,700 "
Baker Hills,https://www.niche.com/places-to-live/n/baker-hills-atlanta-ga/,"$78,831 "
Bakers Ferry,https://www.niche.com/places-to-live/n/bakers-ferry-atlanta-ga/,"$78,200 "
Bankhead,https://www.niche.com/places-to-live/n/bankhead-atlanta-ga/,"$85,893 "
Bankhead Courts,https://www.niche.com/places-to-live/n/bankhead-courts-atlanta-ga/,0
Bankhead/Bolton,https://www.niche.com/places-to-live/n/bankhead-bolton-atlanta-ga/,$777 
Beecher Hills,https://www.niche.com/places-to-live/n/beecher-hills-atlanta-ga/,"$111,460 "
Ben Hill,https://www.niche.com/places-to-live/n/ben-hill-atlanta-ga/,"$166,992 "
Ben Hill Acres,https://www.niche.com/places-to-live/n/ben-hill-acres-atlanta-ga/,"$108,700 "
Ben Hill Forest,https://www.niche.com/places-to-live/n/ben-hill-forest-atlanta-ga/,"$123,462 "
Ben Hill Pines,https://www.niche.com/places-to-live/n/ben-hill-pines-atlanta-ga/,"$63,500 "
Ben Hill Terrace,https://www.niche.com/places-to-live/n/ben-hill-terrace-atlanta-ga/,"$193,900 "
Benteen Park,https://www.niche.com/places-to-live/n/benteen-park-atlanta-ga/,"$203,717 "
Berkeley Park,https://www.niche.com/places-to-live/n/berkeley-park-atlanta-ga/,"$241,610 "
Betmar LaVilla,https://www.niche.com/places-to-live/n/betmar-lavilla-atlanta-ga/,"$72,600 "
Blair Villa/Poole Creek,https://www.niche.com/places-to-live/n/blair-villa-poole-creek-atlanta-ga/,"$95,700 "
Blandtown,https://www.niche.com/places-to-live/n/blandtown-atlanta-ga/,"$245,131 "
Bolton,https://www.niche.com/places-to-live/n/bolton-atlanta-ga/,"$257,299 "
