,Neighborhood,Niche URL,Niche Price,Population (2010),NPU,2014 Count,2015 Count,2016 Count,2017 Count,2018 Count
0,Adair Park,https://www.niche.com/places-to-live/n/adair-park-atlanta-ga/,"$100,000 ","1,331",V,166.0,194.0,171.0,169.0,197.0
1,Adams Park,https://www.niche.com/places-to-live/n/adams-park-atlanta-ga/,"$83,227 ","1,763",R,138.0,138.0,164.0,94.0,96.0
2,Adamsville,https://www.niche.com/places-to-live/n/adamsville-atlanta-ga/,"$72,814 ","2,403",H,235.0,295.0,272.0,208.0,216.0
3,Almond Park,https://www.niche.com/places-to-live/n/almond-park-atlanta-ga/,"$23,813 ","1,020",G,72.0,65.0,62.0,48.0,46.0
5,Ansley Park,https://www.niche.com/places-to-live/n/ansley-park-atlanta-ga/,"$668,272 ","2,277",E,85.0,72.0,86.0,63.0,53.0
7,Ardmore,https://www.niche.com/places-to-live/n/ardmore-atlanta-ga/,"$356,635 ",756,E,56.0,63.0,63.0,36.0,72.0
8,Argonne Forest,https://www.niche.com/places-to-live/n/argonne-forest-atlanta-ga/,"$1,111,400 ",590,C,8.0,7.0,6.0,9.0,7.0
9,Arlington Estates,https://www.niche.com/places-to-live/n/arlington-estates-atlanta-ga/,"$136,384 ",776,P,32.0,32.0,28.0,22.0,27.0
11,Ashview Heights,https://www.niche.com/places-to-live/n/ashview-heights-atlanta-ga/,"$35,567 ","1,292",T,176.0,199.0,170.0,136.0,114.0
14,Atlanta University Center,https://www.niche.com/places-to-live/n/atlanta-university-center-atlanta-ga/,"$118,806 ","5,703",T,231.0,171.0,176.0,116.0,83.0
15,Atlantic Station,https://www.niche.com/places-to-live/n/atlantic-station-atlanta-ga/,"$203,212 ","1,888",E,251.0,258.0,283.0,210.0,273.0
18,Baker Hills,https://www.niche.com/places-to-live/n/baker-hills-atlanta-ga/,"$78,831 ",757,H,22.0,22.0,28.0,31.0,27.0
20,Bankhead,https://www.niche.com/places-to-live/n/bankhead-atlanta-ga/,"$85,893 ","1,929",K,170.0,166.0,178.0,150.0,118.0
23,Beecher Hills,https://www.niche.com/places-to-live/n/beecher-hills-atlanta-ga/,"$111,460 ",647,O,35.0,16.0,21.0,13.0,14.0
24,Ben Hill,https://www.niche.com/places-to-live/n/ben-hill-atlanta-ga/,"$166,992 ","1,725",P,70.0,77.0,79.0,34.0,49.0
28,Ben Hill Terrace,https://www.niche.com/places-to-live/n/ben-hill-terrace-atlanta-ga/,"$193,900 ",937,P,36.0,56.0,39.0,32.0,28.0
29,Benteen Park,https://www.niche.com/places-to-live/n/benteen-park-atlanta-ga/,"$203,717 ",893,W,53.0,42.0,47.0,40.0,38.0
30,Berkeley Park,https://www.niche.com/places-to-live/n/berkeley-park-atlanta-ga/,"$241,610 ","1,400",D,397.0,455.0,394.0,311.0,501.0
31,Betmar LaVilla,https://www.niche.com/places-to-live/n/betmar-lavilla-atlanta-ga/,"$72,600 ",578,Y,49.0,35.0,38.0,49.0,34.0
34,Bolton,https://www.niche.com/places-to-live/n/bolton-atlanta-ga/,"$257,299 ","2,996",D,75.0,97.0,100.0,128.0,112.0
37,Boulevard Heights,https://www.niche.com/places-to-live/n/boulevard-heights-atlanta-ga/,"$160,200 ",675,W,48.0,24.0,24.0,43.0,43.0
38,Brandon,https://www.niche.com/places-to-live/n/brandon-atlanta-ga/,"$793,093 ",943,C,22.0,34.0,24.0,12.0,16.0
43,Brookwood,https://www.niche.com/places-to-live/n/brookwood-atlanta-ga/,"$292,426 ","1,834",E,48.0,38.0,53.0,35.0,22.0
44,Brookwood Hills,https://www.niche.com/places-to-live/n/brookwood-hills-atlanta-ga/,"$714,856 ","2,103",E,61.0,48.0,26.0,53.0,55.0
45,Browns Mill Park,https://www.niche.com/places-to-live/n/browns-mill-park-atlanta-ga/,"$78,390 ","2,170",Z,167.0,145.0,160.0,143.0,107.0
46,Buckhead Forest,https://www.niche.com/places-to-live/n/buckhead-forest-atlanta-ga/,"$244,382 ","2,252",B,180.0,213.0,206.0,172.0,208.0
48,Buckhead Village,https://www.niche.com/places-to-live/n/buckhead-village-atlanta-ga/,"$238,500 ","1,343",B,109.0,121.0,125.0,190.0,253.0
51,Cabbagetown,https://www.niche.com/places-to-live/n/cabbagetown-atlanta-ga/,"$228,700 ","1,247",N,45.0,43.0,59.0,49.0,33.0
52,Campbellton Road,https://www.niche.com/places-to-live/n/campbellton-road-atlanta-ga/,"$61,244 ","4,709",R,297.0,245.0,265.0,214.0,182.0
53,Candler Park,https://www.niche.com/places-to-live/n/candler-park-atlanta-ga/,"$475,706 ","3,291",N,224.0,183.0,134.0,151.0,136.0
