Neighborhood,Niche URL,Niche Price
Greenbriar,https://www.niche.com/places-to-live/n/greenbriar-atlanta-ga/,"$102,121"
Downtown,https://www.niche.com/places-to-live/n/downtown-atlanta-ga/,"$132,456"
Adamsville,https://www.niche.com/places-to-live/n/adamsville-atlanta-ga/,"$72,814"
Lenox,https://www.niche.com/places-to-live/n/lenox-atlanta-ga/,0
Edgewood,https://www.niche.com/places-to-live/n/edgewood-atlanta-ga/,"$246,000"
Venetian Hills,https://www.niche.com/places-to-live/n/venetian-hills-atlanta-ga/,"$71,860"
Kirkwood,https://www.niche.com/places-to-live/n/kirkwood-atlanta-ga/,"$278,370"
Buckhead Forest,https://www.niche.com/places-to-live/n/buckhead-forest-atlanta-ga/,"$244,382"
Candler Park,https://www.niche.com/places-to-live/n/candler-park-atlanta-ga/,"$475,706"
Old Fourth Ward,https://www.niche.com/places-to-live/n/old-fourth-ward-atlanta-ga/,"$237,042"
Midtown,https://www.niche.com/places-to-live/n/midtown-atlanta-ga/,"$322,058"
Wilson Mill Meadows,https://www.niche.com/places-to-live/n/wilson-mill-meadows-atlanta-ga/,"$79,500"
Scotts Crossing,https://www.niche.com/places-to-live/n/scotts-crossing-atlanta-ga/,"$105,681"
Chastain Park,https://www.niche.com/places-to-live/n/chastain-park-atlanta-ga/,"$696,809"
Collier Heights,https://www.niche.com/places-to-live/n/collier-heights-atlanta-ga/,"$74,427"
Amal Heights,https://www.niche.com/places-to-live/n/amal-heights-atlanta-ga/,"$72,600"
Inman Park,https://www.niche.com/places-to-live/n/inman-park-atlanta-ga/,"$452,641"
Capitol View,https://www.niche.com/places-to-live/n/capitol-view-atlanta-ga/,"$78,384"
West End,https://www.niche.com/places-to-live/n/west-end-atlanta-ga/,"$94,131"
Oakland City,https://www.niche.com/places-to-live/n/oakland-city-atlanta-ga/,"$77,543"
Baker Hills,https://www.niche.com/places-to-live/n/baker-hills-atlanta-ga/,"$78,831"
Berkeley Park,https://www.niche.com/places-to-live/n/berkeley-park-atlanta-ga/,"$241,610"
Tuxedo Park,https://www.niche.com/places-to-live/n/tuxedo-park-atlanta-ga/,"$893,717"
Springlake,https://www.niche.com/places-to-live/n/springlake-atlanta-ga/,"$652,247"
Fairburn Heights,https://www.niche.com/places-to-live/n/fairburn-heights-atlanta-ga/,"$59,424"
Summerhill,https://www.niche.com/places-to-live/n/summerhill-atlanta-ga/,"$117,307"
South Atlanta,https://www.niche.com/places-to-live/n/south-atlanta-atlanta-ga/,"$85,071"
Green Forest Acres,https://www.niche.com/places-to-live/n/green-forest-acres-atlanta-ga/,"$109,612"
The Villages at Carver,https://www.niche.com/places-to-live/n/the-villages-at-carver-atlanta-ga/,"$95,000"
East Atlanta,https://www.niche.com/places-to-live/n/east-atlanta-atlanta-ga/,"$196,495"
Browns Mill Park,https://www.niche.com/places-to-live/n/browns-mill-park-atlanta-ga/,"$78,390"
Sylvan Hills,https://www.niche.com/places-to-live/n/sylvan-hills-atlanta-ga/,"$75,870"
Home Park,https://www.niche.com/places-to-live/n/home-park-atlanta-ga/,"$208,821"
Dixie Hills,https://www.niche.com/places-to-live/n/dixie-hills-atlanta-ga/,"$64,254"
Lake Claire,https://www.niche.com/places-to-live/n/lake-claire-atlanta-ga/,"$488,797"
Peoplestown,https://www.niche.com/places-to-live/n/peoplestown-atlanta-ga/,"$223,706"
Westview,https://www.niche.com/places-to-live/n/westview-atlanta-ga/,"$137,190"
Blandtown,https://www.niche.com/places-to-live/n/blandtown-atlanta-ga/,"$245,131"
Cascade Avenue/Road,https://www.niche.com/places-to-live/n/cascade-avenue-road-atlanta-ga/,"$95,560"
Penelope Neighbors,https://www.niche.com/places-to-live/n/penelope-neighbors-atlanta-ga/,"$52,169"
Pittsburgh,https://www.niche.com/places-to-live/n/pittsburgh-atlanta-ga/,"$26,111"
Pomona Park,https://www.niche.com/places-to-live/n/pomona-park-atlanta-ga/,"$91,800"
Buckhead Village,https://www.niche.com/places-to-live/n/buckhead-village-atlanta-ga/,"$238,500"
,https://www.niche.com/places-to-live/n/nan-atlanta-ga/,0
Florida Heights,https://www.niche.com/places-to-live/n/florida-heights-atlanta-ga/,"$45,001"
Grove Park,https://www.niche.com/places-to-live/n/grove-park-atlanta-ga/,"$86,278"
Mechanicsville,https://www.niche.com/places-to-live/n/mechanicsville-atlanta-ga/,"$97,288"
Ashview Heights,https://www.niche.com/places-to-live/n/ashview-heights-atlanta-ga/,"$35,567"
Atlanta Industrial Park,https://www.niche.com/places-to-live/n/atlanta-industrial-park-atlanta-ga/,"$101,300"
Lakewood,https://www.niche.com/places-to-live/n/lakewood-atlanta-ga/,"$71,132"
Thomasville Heights,https://www.niche.com/places-to-live/n/thomasville-heights-atlanta-ga/,"$83,533"
Glenrose Heights,https://www.niche.com/places-to-live/n/glenrose-heights-atlanta-ga/,"$61,798"
Ormewood Park,https://www.niche.com/places-to-live/n/ormewood-park-atlanta-ga/,"$284,772"
Pine Hills,https://www.niche.com/places-to-live/n/pine-hills-atlanta-ga/,"$375,790"
Campbellton Road,https://www.niche.com/places-to-live/n/campbellton-road-atlanta-ga/,"$61,244"
Virginia Highland,https://www.niche.com/places-to-live/n/virginia-highland-atlanta-ga/,"$554,002"
Piedmont Heights,https://www.niche.com/places-to-live/n/piedmont-heights-atlanta-ga/,"$417,084"
Perkerson,https://www.niche.com/places-to-live/n/perkerson-atlanta-ga/,"$79,600"
Peachtree Hills,https://www.niche.com/places-to-live/n/peachtree-hills-atlanta-ga/,"$497,415"
